Departement,URL,Titre,Type_Bien,Localisation,Prix,Surface_m2,Nb_Pieces,Description
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-12-75012/1810270,Achat :Appartement T5- Paris 12 - Paris (75),Appartement T5,- Paris 12 - Paris (75),1049000,105.28,3,"En Exclusivité - Appartement familial traversant et extrêmement lumineux à deux pas de la place Daumesnil
Idéalement situé près de la place Daumesnil, cet appartement allie espace et luminosité grâce à son orientation traversante. Il se compose d’une entrée accueillante, d’une double réception baignée de lumière naturelle, prolongée par un balcon ensoleillé et sans vis-à-vis. La cuisine, aménagée et équipée, est à la fois fonctionnelle et conviviale.
Côté nuit, trois chambres reliées par un vaste balcon, offrent des espaces de repos agréables. Une salle de douche, une salle de bains et des wc invités complètent cet ensemble.
Pour plus de praticité, ce bien inclut une cave et une place de parking située sous l’immeuble. Un appartement où confort et emplacement se rencontrent."
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-15-75015/1766488,Achat :Appartement T1- Paris 15 - Paris (75),Appartement T1,- Paris 15 - Paris (75),85000,6.55,1,"A VENDRE A PARIS 15EME, CHAMBRE DE SERVICE AU 7EME ET DERNIER ETAGE, dans un immeuble de haut standing, d'une superficie habitable d'environ 6,55 m2, et d'environ 10,65 m2 au sol. Il se compose d'une pièce principale sur parquet avec douche, kitchenette, les WC sont communs sur le palier. Huisseries en double vitrage PVC. 7ème étage sans ascenseur. Proche toutes commodités (transports aux pieds, commerces à deux pas, et TOUR EIFFEL à moins de 10 minutes à pieds, GARE MONTPARNASSE à 12 minutes en métro). BIEN NON LOUABLE ! IDEAL POUR PIED A TERRE, RESIDENCE SECONDAIRE !  Emplacement idéal.
Classe énergie : G - Prix de vente : 80.000  + Honoraires de négociation en sus : 5.000  - Réf : 72. (6.25 % d'honoraires TTC à la charge de l'acquéreur.)"
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-15-75015/1762367,Achat :Appartement T3- Paris 15 - Paris (75),Appartement T3,- Paris 15 - Paris (75),647900,67.0,3,"APPARTEMENT A VENDRE A PARIS 15EME EN EXCLUSIVITE ! N'attendez plus pour découvrir cet agréable appartement de type 3 d'environ 67 m2, au troisième étage avec ascenseur d'un immeuble datant de 1976 et pourvu d'un parking en souterrain et d'une cave. Il se compose de : Entrée avec placards, cuisine séparée, salon-séjour se prolongeant vers un balcon exposé sud-ouest, une pièce dressing, dégagement, une salle d'eau, WC et une chambre avec balcon.
Possibilité de créer une deuxième chambre au besoin. Chauffage électrique, chauffe-eau collectif.
Emplacement idéal pour vivre à deux pas des commodités.
Classe énergie : E - Prix de vente : 620 000  + Honoraires de négociation en sus : 27 900  - Réf : 69. (4.50 % d'honoraires TTC à la charge de l'acquéreur.)"
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-20-75020/1850108,Achat :Appartement T2- Paris 20 - Paris (75),Appartement T2,- Paris 20 - Paris (75),307000,33.6,2,"Vendu LOUÉ. Paris 20ème, Gambetta, dans un immeuble ancien à deux pas de la Place, appartement de 33,6m² au 5ème étage avec ascenseur. Plan en étoile pour cet appartement vendu loué 987 +105 de charges/mois, jusqu'au 02/12/2027. Il comprend : entrée, dégagement, séjour, cuisine séparée, chambre et salle d'eau avec WC. Les pièces principales donnent sur cour, au calme et sont exposées Sud-Ouest ! Métro Gambetta lignes 2, 3 et 3bis, bus 26, 60, 64 et 69 et commerces au pied de l'immeuble ! Plan sur demande. Vendu avec cave et emplacement de parking dans immeuble voisin. (5.86 % d'honoraires TTC à la charge de l'acquéreur.)"
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-15-75015/1688568,Achat :Appartement T2- Paris 15 - Paris (75),Appartement T2,- Paris 15 - Paris (75),438880,44.0,1,"À VENDRE : Appartement idéalement situé dans le 15ème arrondissement de Paris, à 5 minutes de la Médiathèque Marguerite-Yourcenar, à 4 minutes du métro Vaugirard, et à seulement 22 minutes à pied de la gare Montparnasse.
Ce bien, situé au 2ème étage avec ascenseur, offre une entrée avec placard, un séjour/salle à manger lumineux avec balcon, une cuisine séparée, une chambre avec balcon, une salle de bains et des WC séparés.
Une cave est également incluse.
Classe énergétique : F.
Charges annuelles 2024 :2.564euros (incluant l'eau chaude, le chauffage, le fonds de travaux, l'ascenseur et les charges de copropriété).
Une opportunité rare dans un quartier très prisé et proche de toutes commodités !"
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-12-75012/1844443,Achat :Appartement T3- Paris 12 - Paris (75),Appartement T3,- Paris 12 - Paris (75),459800,47.0,2,"NOUVEAUTE - EXCLUSIVITE - BASTILLE  - QUINZE VINGTS -  CANAL ST MARTIN  -  T3 SUD
Quartier QUINZE VINGTS,  rue Jules César, dans un immeuble Haussmannien en très bon état, beau T3 d'une surface de 47 m² et comprenant :
Entrée avec placard, cuisine aménagée, séjour et salon SUD (ou 2e chambre), une chambre avec placards et salle d'eau privative , WC.
Appartement traversant.
Cave sur dalle béton
Local vélos.
Immeuble sécurisé.
METRO BASTILLE : (lignes 1, 5 et 8) et QUAI DE LA RAPÉE (ligne 5).
A 10 min à pied de la gare de Lyon (RER A, lignes de métro 1 et 14)
Proximité commerces.
Libre à la vente.  (4.50 % d'honoraires TTC à la charge de l'acquéreur.)"
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-15-75015/1868401,Achat :Appartement T6- Paris 15 - Paris (75),Appartement T6,- Paris 15 - Paris (75),1450000,156.68,4,"PARIS 15 / BIR-HAKEIM - APPARTEMENT FAMILIAL 6 PIÈCES AVEC LOGGIAS & VUE TOUR EIFFEL + PARKING + 2 CAVES
Exclusivité. Boulevard de Grenelle, rare sur le marché. Au sein d'un immeuble de 1961 parfaitement entretenu avec Gardienne, dans un environnement typiquement Parisien. Un bel appartement familial traversant de 6 pièces principales de 156,68m² (loi Carrez) au 6ème étage par ascenseur. Baigné de lumière, il est composé d'une entrée avec dressing, triple réception (47m²) avec vue imprenable sur la Tour Eiffel, 4 chambres (entre 12 et 23m²), 2 salles de bains, WC indépendant et cuisine séparée avec office. Nombreux rangements, fenêtres dans toutes les pièces.
Réunion de 2 lots : possibilité de diviser en 2 appartements.
Rénovation à prévoir.
Triple-exposition Est et Sud sur la Tour Eiffel, Ouest côté chambres.
Deux caves au sous-sol de l'immeuble.
Chauffage collectif et eau chaude urbain (CPCU)
Charges : 653€/mois - Taxe Foncière : 3.244€/an
DPE : Classe D (226kwH/m²/an) / GES : Classe D (39kgCO²/m²/an)
Quartier recherché. Tout à proximité immédiate : Quais de Seine, Métro Bir-Hakeim et Dupleix, nombreux commerces, bonnes écoles. À visiter sans tarder !
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques."
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-04-75004/1861994,Achat :Appartement T5- Paris 4 - Paris (75),Appartement T5,- Paris 4 - Paris (75),2290000,140.24,4,"PARIS 04 / ÎLE DE LA CITÉ - APPARTEMENT HAUSSMANNIEN AVEC BALCON ET VUES + CAVE
Île de la Cité - Boulevard du Palais, rare sur le marché. Au sein d'un immeuble Haussmannien parfaitement entretenu. Un bel appartement familial traversant de 5 pièces principales de 145,77m² au sol (140,24m² loi Carrez) au 2ème étage (étage noble) AVEC ascenseur. Baigné de lumière, il est composé d'une galerie d'entrée, double-séjour (48m²) donnant sur un large balcon (9m²), 3 chambres (entre 10 et 17m²) avec salle d'eau attenantes pour chacune d'entre elles, WC indépendant et cuisine dinatoire. Nombreux rangements, fenêtres dans toutes les pièces.
Très belle HSP : 3,40m. Charme de l'ancien préservé : Parquet, moulures, cheminées et boiseries.
Double-exposition OUEST sur rue et EST, SUD et NORD sur cour. Très calme.
Grande cave (12m²) au sous-sol de l'immeuble.
Chauffage et eau chaude individuels Gaz.
Charges : 252€/mois - Taxe Foncière : 2.716€/an
DPE : Classe E (261kwH/m²/an) / GES : Classe E (52kgCO²/m²/an)
Quartier très recherché. Tout à proximité immédiate. À visiter sans tarder !
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques."
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-18-75018/1843376,Achat :Appartement T2- Paris 18 - Paris (75),Appartement T2,- Paris 18 - Paris (75),460000,40.17,1,"PARIS 18 / LAMARCK-CAULAINCOURT - APPARTEMENT 2 PIECES SUR COUR REFAIT A NEUF
Exclusivité, quartier recherché de la Butte Montmartre, rue Custine. Au sein d'un bel immeuble 1912 bien tenu avec Gardienne. Un appartement confortable et traversant de 2 pièces de 40,55m² (40,17 m² loi Carrez) au calme absolu sur cour. Intégralement repensé et rénové cet été, il se compose d'une entrée ouverte sur une cuisine américaine et un espace bureau (parfait pour le télétravail) et dressing, séjour avec cheminée, WC indépendant, salle d'eau avec fenêtre, chambre avec dressing intégré. Nombreux rangements intégrés.
Rénovation de qualité avec des matériaux nobles. Conservation des éléments d'origine : cheminée, parquet en chêne et moulures.
Une cave en sous-sol complète ce bien.
Chauffage & eau chaude individuels électriques.
Charges : 116€/mois
DPE : Classe E (253kWh/m²/an) / GES : Classe B (8kgCO²/m²/an)
Proximité immédiate : Metro Lamarck-Caulaincourt, Jules Joffrin ou Château Rouge et tout commerces.
A visiter sans tarder !
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques."
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-09-75009/1812375,Achat :Appartement T4- Paris 9 - Paris (75),Appartement T4,- Paris 9 - Paris (75),975000,78.04,3,"PARIS 09 / SAINT-GEORGES - APPARTEMENT 4 PIÈCES BIS ÉTAGE ÉLEVÉ DANS IMMEUBLE BOURGEOIS + CAVE
Exclusivité. Au cœur de la rue Pierre Fontaine, au sein d'un immeuble ancien bourgeois parfaitement entretenu avec Ascenseur. Un bel appartement familial traversant de 4 pièces principales rénové de 78,04m² (loi Carrez) au 3ème étage. Baigné de lumière, il est composé d'une entrée, double-séjour avec cuisine semi-ouverte et espace salle à manger formant un tout de 31,4m²). 3 chambres (dont une petite) WC indépendant, salle de bains et 2ème salle d'eau.
Exposition SUD-OUEST sur la rue Pierre Fontaine et la rue Mansart
Cave au sous-sol de l'immeuble.
Chauffage et eau chaude individuelle électricité.
Aucun travaux à prévoir.
Charges : 219€/mois
DPE : Classe E (281kwH/m²/an) / GES : Classe B (9kgCO²/m²/an)
Quartier très recherché. Tout à proximité immédiate. À visiter sans tarder !
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques."
