Departement,URL,Titre,Type_Bien,Localisation,Prix,Surface_m2,Nb_Pieces,Description,Ville,prix_m2,latitude,longitude
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-08-75008/1847402,Achat :Appartement T4- Paris 8 - Paris (75),Appartement T4,- Paris 8 - Paris (75),955000,72.12,4,"Notaire - F4 Rue Berryer PARIS VIIIème. Au coeur du VIIIème arrondissement, dans une petite rue calme encadrée par l'avenue de Friedland et la rue du Faubourg Saint-Honoré, une charmante résidence du 19ème siècle à l'entretien irréprochable abrite cet appartement traversant de plus de 72m² Carrez et de 87m² au sol. Occupant seul le quatrième étage, l'atout principal de ce bien est sans nul doute son panorama principal d'excellente qualité. On pourrait souligner également sa luminosité hors pair et le caractère mansard de plusieurs pièces secondaires qui leur confère un charme indéniable. Le bien se compose d'une entrée, d'un séjour double, de deux chambres, d'une grande cuisine séparée, d'une salle de bains et d'un espace buanderie. Il convient de souligner l'architecture du bâti et le charme de ses parties communes parfaitement entretenue. Double vitrage - Cave - Local à vélos - Local à poussettes - Double orientation - Chauffage individuel électrique - Station 'George V' (M1) à 550m - Station 'Saint-Philippe-du-Roule' (M9) à 550m - Station 'Ternes' (M2) à 600m - A 200m du Centre Beaujon intégrant un centre sportif avec piscine et un vaste espace culturel avec conservatoire de musique.",Paris 8,13241.82,48.8733792,2.3111527
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-16-75016/1865565,Achat :Appartement T2- Paris 16 - Paris (75),Appartement T2,- Paris 16 - Paris (75),745500,70.0,2,"Notaire vend un appartement T2 de 70.58m² Carrez, au 4ème étage avec ascenseur.
Ce bien est situé 40 rue Michel Ange - 75016 Paris, à deux pas du métro.
Il comprend une entrée, un grand double séjour, une salle à manger, une cuisine indépendante, un WC séparé, une chambre avec une salle de bains.
Entrée 5.15 m²
Séjour 32.07 m²
Cuisine 11.30 m²
WC 1.35 m²
Dégagement + placard 3.50 m²
Chambre 11.89 m²
Salle de bains 5.32 m²
Chauffage et eau chaude individuels électriques
Une cave et un emplacement de stationnement complètent cet ensemble.
Petit balcon.
Mentions Loi Alur :
- Bien soumis au régime de la copropriété.
- Nombre de lots dans l'immeuble : 54
- Nombre de copropriétaires : en attente.
- Montant moyen de la quote-part du budget prévisionnel payé par le vendeur correspondant aux dépenses courantes : 2361 euros dont fond travaux.
- Pas de procédure d'alerte ni de redressement.
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www. georisques. gouv. Fr",Paris 16,10650.0,48.854928,2.2553299
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-15-75015/1869510,Achat :Appartement T4- Paris 15 - Paris (75),Appartement T4,- Paris 15 - Paris (75),600000,74.15,4,"Exclusivité, au sein d'un bel immeuble d'angle de la rue de Vaugirard, proche de Convention, un appartement lumineux aux calme absolu d'une surface de 74,15 m² loi Carrez (81,80 m² au sol).
Situé au septième et dernier étage avec ascenseur, ce bien aux vues dégagées sans vis à vis se compose de : un séjour, trois chambres, une cuisine dinatoire, une salle de bains, toilettes séparés.
En annexe, un débarras (4,51 m²) et une cave.
Au dernier étage avec ascenseur, cet appartement offre un très beau potentiel après rénovation.
DPE : F - GES : E",Paris 15,8091.71,48.8414302,2.2961649
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-14-75014/1870526,Vente en viager :Appartement T3- Paris 14 - Paris (75),Appartement T3,- Paris 14 - Paris (75),995000,87.59,3,"VENTE DE LA NUE-PROPRIÉTÉ
Prix : 995 000 € FAI
Valorisation tenant compte de l’usufruit non vendu sur la tête d'un homme de 92 ans (né en août 1933)
Duplex de 87,59 m² carrez situé aux 5ème et 6ème étages (+ terrasse au 7ème étage d'environ 40m²), comprenant :
- au 5ème étage : entrée, cuisine, salle à manger, bureau, salle d'eau
- au 6ème étage : séjour, alcôve, chambre, dégagement, salle de bains, WC, balcon de 5m² et terrasse de 11m² de l'autre côté.
Deux terrasses en jouissance exclusive, une cave et une place de parking complètent ce bien rare !
Chauffage collectif au gaz",Paris 14,11359.74,48.8295585,2.323974
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-16-75016/1854405,Achat :Appartement T8- Paris 16 - Paris (75),Appartement T8,- Paris 16 - Paris (75),2961150,245.96,8,"Paris 16e – La Muette / Passy
Appartement de 246 m² à rénover – Balcon filant – Immeuble haussmannien
Situé dans le quartier de La Muette, à proximité immédiate de la rue de Passy et de ses commerces, au 2ᵉ étage d’un immeuble haussmannien en pierre de taille construit en 1870, appartement de 245,96 m² (Loi Carrez) à rénover entièrement.
Traversant Est-Ouest, il comprend :
– une galerie d’entrée,
– un grand salon sur le boulevard, avec cheminée,
– un petit salon attenant,
– une salle à manger avec verrière ancienne,
– cinq chambres (dont quatre sur cour),
– une cuisine séparée avec accès de service,
– une salle d’eau, un cabinet de toilette et deux WC séparés,
– un long dégagement avec quatre fenêtres sur courette.
Parquet point de Hongrie, moulures et cheminées d’origine. Balcon filant sur le boulevard.
Deux caves complètent l’ensemble.
Huisseries PVC double vitrage côté rue, simple vitrage côté cour. Chauffage individuel au gaz.
Immeuble sécurisé avec gardienne, digicode et interphone.
Métro La Muette (ligne 9) à 4 minutes à pied, RER C – Boulainvilliers à proximité.
Quartier recherché, proche des écoles, transports et commerces.
Bien à rénover offrant un important potentiel.",Paris 16,12039.15,48.854928,2.2553299
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/maison/paris-05-75005/1818810,Achat :Maison / villa- Paris 5 - Paris (75),Maison / villa,- Paris 5 - Paris (75),1496000,139.65,2,"Paris V – Val-de-Grâce
Nichée au fond d’un parc arboré au sein d’une copropriété sécurisée avec digicode et gardien, cette maison individuelle de 3 niveaux vous offre un cadre de vie rare et privilégié, à deux pas du Jardin du Luxembourg.
Dès l’entrée, vous serez séduit par la disposition en étoile des pièces, alliant confort et fonctionnalité. Le rez-de-chaussée accueille une cuisine dînatoire avec accès indépendant au jardin de la copropriété, une chaudière récente, des WC invités, ainsi qu’un double séjour avec trois grandes fenêtres offrant une vue dégagée sur les espaces verts. Une salle à manger sous verrière complète ce niveau, apportant une touche d’élégance et de modernité.
À l’étage, une chambre paisible et une salle de bains composent un espace nuit intime et calme.
Le sous-sol, entièrement aménagé, comprend une salle d’eau avec WC, une buanderie, une deuxième cuisine ainsi qu’une vaste pièce voûtée éclairée naturellement, avec accès direct au jardin privé — idéale pour un espace de loisirs, un bureau ou une chambre d’appoint. (Profession libérale autorisée).
Un parking à proximité est disponible à l’achat, offrant un confort de vie supplémentaire au quotidien.
Emplacement privilégié, vie de quartier recherchée. À seulement 550 mètres du Jardin du Luxembourg, ce bien bénéficie d’un environnement vivant, commerçant et familial. À proximité immédiate, des établissements scolaires de renom tels que l’École Alsacienne et le lycée Stanislas attirent de nombreuses familles en quête d’excellence éducative.
Côté mobilité, la maison est idéalement desservie avec un accès direct à l’aéroport Charles de Gaulle via le RER B, et de nombreuses lignes de métro et bus à proximité.
Quartier recherché – bien rare à la vente.
Infos risques : www.georisques.gouv.fr",Paris 5,10712.5,48.8454189,2.3525824
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-15-75015/1855483,Achat :Appartement T3- Paris 15 - Paris (75),Appartement T3,- Paris 15 - Paris (75),630000,52.05,3,"Paris 15ème proche 7ème – Rue Lecourbe / Sèvres-Lecourbe.
Au 11ème et dernier étage d’un immeuble semi-récent de bon standing, avec ascenseur et gardien, bel appartement traversant de 2/3 pièces de 52,05 m² (loi Carrez), à rafraîchir, bénéficiant d’une vue dégagée et de deux agréables espaces extérieurs.
Il se compose d’une entrée, d’un séjour lumineux ouvrant sur un large balcon de 3,30 m² à l’avant, d’une cuisine équipée et d’une chambre donnant sur une terrasse exposé sud de 10,50 m² à l’arrière. Une salle d’eau, des toilettes séparées, des rangements et une cave complètent l’ensemble.
Nombreuses possibilités d’aménagement :
- Création de deux chambres à la place du séjour actuel.
- Ouverture de la cuisine sur la chambre, permettant de concevoir un séjour donnant sur la terrasse arrière, exposée sud.",Paris 15,12103.75,48.8414302,2.2961649
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-12-75012/1804835,Achat :Appartement T2- Paris 12 - Paris (75),Appartement T2,- Paris 12 - Paris (75),462000,52.0,2,"Notaire vend 9 rue Rottembourg 75012 Paris
Lot numéro cent quarante-quatre (144) Escalier A, 5ème étage, à droite de l’escalier A et de l’ascenseur A, un appartement de 52.46 m² Carrez, comprenant/
entrée, water-closet, cuisine, salle de séjour, chambre avec placard et salle de bains.
Et les cent soixante-huit / dix millièmes (168/10000) des parties communes générales
Balcon 6,51 m²
Lot numéro quatre-vingt (80) Escalier C, au 1er sous-sol, une Cave portant le numéro 25.
Et les quatre/dix millièmes (4/10000 èmes) des parties communes générales
Entrée 2,45 m²
W.C 1,26 m²
Salle séjour 18,29 m²
Chambre 11,23 m²
Salle de bains 4,79 m²
Cuisine 7,93 m²
Travaux à prévoir.
Mentions Loi Alur :
- Bien soumis au régime de la copropriété.
- Nombre de lots dans l'immeuble : 163.
- Nombre de copropriétaires : en attente.
- Montant moyen de la quote-part du budget prévisionnel payé par le vendeur correspondant aux dépenses courantes : 2.928 euros.
- Pas de procédure d'alerte ni de redressement.
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www. georisques. gouv. fr",Paris 12,8884.62,48.8352003,2.4451359
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-04-75004/1846239,Achat :Appartement T1- Paris 4 - Paris (75),Appartement T1,- Paris 4 - Paris (75),264400,11.5,1,"Situé rue Chanoinesse, au cœur du prestigieux 4ᵉ arrondissement de Paris, ce studio plein de charme de 17,20 m²au sol et 11.50 m² carrez offre une vue exceptionnelle sur Notre-Dame de Paris.
Nichée dans un immeuble ancien datant de 1890, cette adresse emblématique de l’Île de la Cité incarne le Paris authentique et historique.
Au 6ème et dernier étage sans ascenseur l’appartement, en très bon état, se compose d’une pièce principale lumineuse avec cuisine ouverte, et d’une salle d’eau avec Sanibroyeur
Les huisseries en PVC à double vitrage . Le chauffage électrique individuel permet une gestion optimale de la consommation.
Situé en étage sans ascenseur, ce bien rare séduira les amateurs de caractère, de vue exceptionnelle et d’adresse prestigieuse.
Emplacement idéal :
Métro Cité (ligne 4) à 3 minutes à pied
Métro Saint-Michel – Notre-Dame (lignes 4 & RER B/C) à 5 minutes
Métro Hôtel de Ville (lignes 1 & 11) à 7 minutes
À proximité immédiate des berges de Seine, commerces et restaurants typiques du quartier historique.
Informations complémentaires :
Copropriété de 10 lots principaux
Charges annuelles : 445 €
Classe énergétique : G
Émissions de gaz à effet de serre : C
Superficie Loi Carrez totale : 11,50 m²
Surface au sol totale : 17,20 m²
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site : www.georisques.gouv.fr",Paris 4,22991.3,48.8541478,2.3568079
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-16-75016/1780548,Achat :Appartement T5- Paris 16 - Paris (75),Appartement T5,- Paris 16 - Paris (75),1160000,81.0,5,"PLACE URUGUAY – Paris 16ᵉ limite 8e
Au 2ᵉ étage d’un immeuble de bon standing avec gardien, appartement traversant de 80,65 m², bénéficiant d’une belle luminosité grâce à ses grandes baies vitrées et à son exposition Est/Ouest.
Il comprend : une entrée, un séjour de 30 m², une cuisine indépendante, deux chambres (possibilité d’en créer une troisième), une salle de bains avec WC, une salle d’eau avec WC, ainsi qu’un balcon au calme.
Une cave complète ce bien.
Parking en sus.
Charges : 215 €/mois
DPE : Classe D – GES : Classe D",Paris 16,14320.99,48.854928,2.2553299
