titre,prix,surface,pieces,adresse,type_bien,prix au m²
1 chambre appartement de 11m² à Paris,412,11,1,"4 Square Auguste Renoir, 75014 Paris, France",appartement,37
1 chambre appartement de 31m² à Paris,690,31,1,"92110 Clichy, France",appartement,22
2 chambres appartement de 20m² à Paris,750,20,2,"Paris, France",appartement,38
1 chambre appartement de 26m² à Paris,932,26,1,"Paris, France",appartement,36
1 chambre appartement de 16m² à Paris,585,16,1,"25 Rue du Chemin Vert, 75011 Paris, France",appartement,37
3 chambres appartement de 78m² à Paris,570,78,3,"10 Rue du Cloître Notre-Dame, 75004 Paris, France",appartement,7
1 chambre studio de 8m² à Paris,477,8,1,"75013 Paris, France",studio,60
1 chambre studio de 10m² à Paris,100,10,1,"Paris, France",studio,10
5 chambres appartement de 81m² à Paris,665,81,5,"Route d'Arras, 62320 Bois-Bernard, France",appartement,8
1 chambre appartement de 18m² à Paris,350,18,1,"62110 Hénin-Beaumont, France",appartement,19
5 chambres maison de 125m² à Paris,750,125,5,"Rue Marie de France, 75001 Paris, France",maison,6
1 chambre appartement de 12m² à Paris,600,12,1,"16 Avenue de Wagram, 75008 Paris, France",appartement,50
1 chambre appartement de 19m² à Paris,900,19,1,"75017 Paris, France",appartement,47
2 chambres appartement de 40m² à Paris,1120,40,2,"Paris, France",appartement,28
1 chambre appartement de 10m² à Paris,583,10,1,"75005 Paris, France",appartement,58
1 chambre appartement de 10m² à Paris,500,10,1,"14 Boulevard d'Inkermann, 92200 Neuilly-sur-Seine, France",appartement,50
1 chambre appartement de 21m² à Paris,730,21,1,"6 Rue Lamarck, 75018 Paris, France",appartement,35
1 chambre appartement de 20m² à Paris,600,20,1,"75000 Paris, France",appartement,30
1 chambre studio de 19m² à Paris,710,19,1,"32 Boulevard de l'Hôpital, 75005 Paris, France",studio,37
2 chambres appartement de 28m² à Paris,970,28,2,"75013 Paris, France",appartement,35
2 chambres appartement de 36m² à Paris,876,36,2,"75020 Paris, France",appartement,24
1 chambre appartement de 8m² à Paris,484,8,1,"75019 Paris, France",appartement,60
5 chambres appartement de 202m² à Paris,1100,202,5,"10 Rue du Cloître Notre-Dame, 75004 Paris, France",appartement,5
4 chambres appartement de 77m² à Paris,1300,77,4,"Victor Hugo, Avenue Victor Hugo, 75116 Paris, France",appartement,17
1 chambre appartement de 15m² à Paris,140,15,1,"Expectra Search, Rue Vernet, 75008 Paris, France",appartement,9
2 chambres appartement de 30m² à Paris,1240,30,2,"Place Monge, Rue Larrey, 75005 Paris, France",appartement,41
2 chambres appartement de 62m² à Paris,1650,62,2,"97 Boulevard Voltaire, 75011 Paris, France",appartement,27
1 chambre studio de 23m² à Paris,1050,23,1,"2 Rue Coëtlogon, 75006 Paris, France",studio,46
3 chambres appartement de 72m² à Paris,2040,72,3,"Paris, France",appartement,28
2 chambres appartement de 28m² à Paris,1200,28,2,"France Télévisions, 7 Esplanade Henri de France, 75015 Paris, France",appartement,43
1 chambre appartement de 27m² à Paris,345,27,1,"Douai, Nord, France",appartement,13
4 chambres appartement de 90m² à Paris,800,90,4,"62210 Avion, France",appartement,9
2 chambres appartement de 50m² à Paris,1490,50,2,"26 Rue Vineuse, 75116 Paris, France",appartement,30
5 chambres appartement de 1m² à Paris,700,1,5,"62110 Hénin-Beaumont, France",appartement,700
5 chambres appartement de 90m² à Paris,700,90,5,"62970 Courcelles-lès-Lens, France",appartement,8
1 chambre appartement de 30m² à Paris,1200,30,1,"52 Quai de Jemmapes, 75010 Paris, France",appartement,40
2 chambres appartement de 30m² à Paris,1500,30,2,"68 Rue d'Assas, 75006 Paris, France",appartement,50
1 chambre appartement de 15m² à Paris,160,15,1,"29 Rue des Longues Raies, 75013 Paris, France",appartement,11
1 chambre studio de 8m² à Paris,497,8,1,"75012 Paris, France",studio,62
3 chambres appartement de 66m² à Paris,2000,66,3,"212 Rue de l'Université, 75007 Paris, France",appartement,30
1 chambre studio de 20m² à Paris,860,20,1,"6 Rue de l'Essai, 75005 Paris, France",studio,43
3 chambres maison de 73m² à Paris,800,73,3,"10 Rue du Cloître Notre-Dame, 75004 Paris, France",maison,11
2 chambres appartement de 26m² à Paris,1257,26,2,"35 Rue Blanche, 75009 Paris, France",appartement,48
1 chambre appartement de 15m² à Paris,550,15,1,"75000 Paris, France",appartement,37
1 chambre appartement de 40m² à Paris,1010,40,1,"75010 Paris, France",appartement,25
1 chambre appartement de 1m² à Paris,320,1,1,"Lens, Pas-de-Calais, France",appartement,320
1 chambre appartement de 1m² à Paris,350,1,1,"62110 Hénin-Beaumont, France",appartement,350
1 chambre de 60m² à Paris,520,60,1,"72 Rue Myrha, 75018 Paris, France",chambre,9
3 chambres appartement de 54m² à Paris,480,54,3,"62210 Avion, France",appartement,9
1 chambre appartement de 20m² à Paris,950,20,1,"22 Quai du Louvre, 75001 Paris, France",appartement,48
2 chambres appartement de 45m² à Paris,470,45,2,"Lens, Pas-de-Calais, France",appartement,10
1 chambre studio de 20m² à Paris,1200,20,1,"10 Rue Pierre le Grand, 75008 Paris, France",studio,60
1 chambre appartement de 9m² à Paris,600,9,1,"73 Boulevard Exelmans, 75016 Paris, France",appartement,67
2 chambres appartement de 29m² à Paris,876,29,2,"75017 Paris, France",appartement,30
2 chambres appartement de 58m² à Paris,1700,58,2,"Paris, France",appartement,29
2 chambres appartement de 17m² à Paris,785,17,2,"167 Rue du Château des Rentiers, 75013 Paris, France",appartement,46
1 chambre appartement de 24m² à Paris,770,24,1,"Commissariat de police de Paris, 250 Rue de Vaugirard, 75015 Paris, France",appartement,32
1 chambre studio de 15m² à Paris,750,15,1,"61 Rue Haxo, 75020 Paris, France",studio,50
1 chambre studio de 18m² à Paris,760,18,1,"2 Rue Scipion, 75005 Paris, France",studio,42
