titre,prix,surface,pieces,adresse,type_bien,prix au m²
1 chambre studio de 27m² à Nantes,374,27,1,"Nantes, Loire-Atlantique, France",studio,14
2 chambres maison de 30m² à Nantes,350,30,2,"8 Rue Gambetta, 44000 Nantes, France",maison,12
1 chambre appartement de 26m² à Nantes,346,26,1,"FPgéo, Rue Président Desmars, 44200 Nantes, France",appartement,13
1 chambre appartement de 31m² à Nantes,430,31,1,"44000 Nantes, France",appartement,14
2 chambres appartement de 36m² à Nantes,470,36,2,"44100 Nantes, France",appartement,13
1 chambre studio de 27m² à Nantes,386,27,1,"Nantes, Loire-Atlantique, France",studio,14
1 chambre appartement de 47m² à Nantes,620,47,1,"9 Rue Pierre Yvernogeau, 44300 Nantes, France",appartement,13
2 chambres appartement de 32m² à Nantes,630,32,2,"10 Avenue Mich, 44000 Nantes, France",appartement,20
2 chambres appartement de 61m² à Nantes,600,61,2,"26 Quai du Halleray, 44300 Nantes, France",appartement,10
2 chambres appartement de 41m² à Nantes,678,41,2,"Nantes, Loire-Atlantique, France",appartement,17
4 chambres appartement de 126m² à Nantes,655,126,4,"Nantes, Loire-Atlantique, France",appartement,5
2 chambres appartement de 38m² à Nantes,567,38,2,"26 Quai du Halleray, 44300 Nantes, France",appartement,15
4 chambres appartement de 15m² à Nantes,462,15,4,"44000 Nantes, France",appartement,31
4 chambres maison de 116m² à Nantes,1250,116,4,"26 Quai du Halleray, 44300 Nantes, France",maison,11
2 chambres appartement de 52m² à Nantes,612,52,2,"3 Place du Commerce, 44000 Nantes, France",appartement,12
1 chambre appartement de 23m² à Nantes,384,23,1,"Nantes, Loire-Atlantique, France",appartement,17
1 chambre appartement de 78m² à Nantes,415,78,1,"Nantes, Loire-Atlantique, France",appartement,5
1 chambre de 33m² à Nantes,440,33,1,"4 Rue Pierre Étienne Flandin, 44200 Nantes, France",chambre,13
3 chambres appartement de 64m² à Nantes,781,64,3,"FPgéo, Rue Président Desmars, 44200 Nantes, France",appartement,12
3 chambres appartement de 68m² à Nantes,857,68,3,"Rue des 3 Mares, 44300 Nantes, France",appartement,13
3 chambres appartement de 62m² à Nantes,727,62,3,"Route de Vannes, 44036 Nantes, France",appartement,12
2 chambres appartement de 37m² à Nantes,606,37,2,"Nantes, Loire-Atlantique, France",appartement,16
3 chambres appartement de 57m² à Nantes,799,57,3,"26 Quai du Halleray, 44300 Nantes, France",appartement,14
2 chambres studio de 21m² à Nantes,445,21,2,"Nantes, Loire-Atlantique, France",studio,21
1 chambre maison de 27m² à Nantes,610,27,1,"Rue de la Martinière, 44300 Nantes, France",maison,23
1 chambre appartement de 11m² à Nantes,485,11,1,"La Souris d'Agneau, Rue Fénelon, 44000 Nantes, France",appartement,44
2 chambres appartement de 26m² à Nantes,600,26,2,"Hôtel Rosmadec, Rue de la Commune, 44000 Nantes, France",appartement,23
3 chambres appartement de 78m² à Nantes,790,78,3,"Nantes, Loire-Atlantique, France",appartement,10
2 chambres appartement de 52m² à Nantes,654,52,2,"Nantes, Loire-Atlantique, France",appartement,13
3 chambres appartement de 62m² à Nantes,690,62,3,"44000 Nantes, France",appartement,11
2 chambres appartement de 37m² à Nantes,725,37,2,"16 Rue de Saint-Brévin, 44100 Nantes, France",appartement,20
1 chambre appartement de 29m² à Nantes,533,29,1,"10 Avenue Mich, 44000 Nantes, France",appartement,18
1 chambre appartement de 11m² à Nantes,475,11,1,"58 Rue Mauvoisins, 44200 Nantes, France",appartement,43
2 chambres appartement de 30m² à Nantes,565,30,2,"16 Rue de Saint-Brévin, 44100 Nantes, France",appartement,19
1 chambre maison de 75m² à Nantes,950,75,1,"4 Rue Saint François, 44000 Nantes, France",maison,13
3 chambres appartement de 70m² à Nantes,792,70,3,"16 Rue de Saint-Brévin, 44100 Nantes, France",appartement,11
4 chambres appartement de 78m² à Nantes,415,78,4,"Nantes, Loire-Atlantique, France",appartement,5
4 chambres maison de 40m² à Nantes,1310,40,4,"Nantes, Loire-Atlantique, France",maison,33
4 chambres appartement de 130m² à Nantes,1390,130,4,"11Bis Quai Turenne, 44000 Nantes, France",appartement,11
1 chambre appartement de 20m² à Nantes,450,20,1,"6 Rue du Moulin de l'Abbaye, 44100 Nantes, France",appartement,22
5 chambres maison de 103m² à Nantes,1675,103,5,"16 Rue de Saint-Brévin, 44100 Nantes, France",maison,16
2 chambres appartement de 32m² à Nantes,830,32,2,"FPgéo, Rue Président Desmars, 44200 Nantes, France",appartement,26
2 chambres appartement de 50m² à Nantes,608,50,2,"La Souris d'Agneau, Rue Fénelon, 44000 Nantes, France",appartement,12
1 chambre appartement de 20m² à Nantes,422,20,1,"104 Rue des Chalâtres, 44000 Nantes, France",appartement,21
5 chambres appartement de 126m² à Nantes,1187,126,5,"26 Quai du Halleray, 44300 Nantes, France",appartement,9
1 chambre appartement de 27m² à Nantes,495,27,1,"Nantes, Loire-Atlantique, France",appartement,18
4 chambres maison de 97m² à Nantes,1230,97,4,"44300 Nantes, France",maison,13
3 chambres appartement de 55m² à Nantes,790,55,3,"26 Quai du Halleray, 44300 Nantes, France",appartement,14
3 chambres appartement de 56m² à Nantes,740,56,3,"Rue Beauregard, 44007 Nantes, France",appartement,13
1 chambre appartement de 25m² à Nantes,506,25,1,"10 Avenue Mich, 44000 Nantes, France",appartement,20
1 chambre appartement de 11m² à Nantes,415,11,1,"5 Rue Garde Dieu, 44000 Nantes, France",appartement,38
1 chambre appartement de 18m² à Nantes,431,18,1,"The abolition of the slave trade and slavery in France, Memorial to the Abolition of Slavery, 44003 Nantes, France",appartement,24
1 chambre appartement de 18m² à Nantes,550,18,1,"10 Bis Rue Émile Péhant, 44000 Nantes, France",appartement,31
1 chambre appartement de 22m² à Nantes,485,22,1,"La Souris d'Agneau, Rue Fénelon, 44000 Nantes, France",appartement,22
7 chambres appartement de 146m² à Nantes,670,146,7,"44000 Nantes, France",appartement,5
5 chambres appartement de 95m² à Nantes,1200,95,5,"3 Allée Jacqueline Maillan, 44200 Nantes, France",appartement,13
1 chambre de 33m² à Nantes,440,33,1,"4 Rue Pierre Étienne Flandin, 44200 Nantes, France",chambre,13
1 chambre maison de 70m² à Nantes,890,70,1,"4 Rue Saint François, 44000 Nantes, France",maison,13
4 chambres appartement de 82m² à Nantes,880,82,4,"13 Rue de Montréal, 44300 Nantes, France",appartement,11
1 chambre appartement de 50m² à Nantes,1480,50,1,"4 Rue de Briord, 44000 Nantes, France",appartement,30
4 chambres appartement de 10m² à Nantes,450,10,4,"44300 Nantes, France",appartement,45
3 chambres appartement de 99m² à Nantes,1150,99,3,"Nantes, Loire-Atlantique, France",appartement,12
4 chambres maison de 186m² à Nantes,1635,186,4,"Nantes, Loire-Atlantique, France",maison,9
1 chambre de 76m² à Nantes,530,76,1,"3 Boulevard François Blancho, 44202 Nantes, France",chambre,7
3 chambres appartement de 68m² à Nantes,857,68,3,"Nantes, Loire-Atlantique, France",appartement,13
3 chambres appartement de 57m² à Nantes,770,57,3,"44300 Nantes, France",appartement,14
1 chambre appartement de 17m² à Nantes,540,17,1,"16 Rue de Saint-Brévin, 44100 Nantes, France",appartement,32
1 chambre appartement de 17m² à Nantes,490,17,1,"62 Rue Paul Bellamy, 44000 Nantes, France",appartement,29
1 chambre studio de 25m² à Nantes,640,25,1,"Nantes, Loire-Atlantique, France",studio,26
3 chambres appartement de 80m² à Nantes,910,80,3,"14 Avenue de la Cressonnière, 44300 Nantes, France",appartement,11
1 chambre studio de 29m² à Nantes,600,29,1,"Quai de Versailles, 44000 Nantes, France",studio,21
1 chambre studio de 39m² à Nantes,545,39,1,"Nantes, Loire-Atlantique, France",studio,14
2 chambres appartement de 56m² à Nantes,590,56,2,"2 Rue du Douet Garnier, 44000 Nantes, France",appartement,11
3 chambres appartement de 100m² à Nantes,2150,100,3,"2 Rue Évariste Luminais, 44100 Nantes, France",appartement,22
5 chambres maison de 146m² à Nantes,2990,146,5,"Nantes, Loire-Atlantique, France",maison,20
1 chambre appartement de 12m² à Nantes,485,12,1,"15 Boulevard Gabriel Guist'Hau, 44000 Nantes, France",appartement,40
4 chambres appartement de 105m² à Nantes,1280,105,4,"10 Avenue Mich, 44000 Nantes, France",appartement,12
1 chambre de 36m² à Nantes,475,36,1,"22 Rue Georges Bizot, 44300 Nantes, France",chambre,13
4 chambres appartement de 30m² à Nantes,1300,30,4,"14 Allée Villanova, 44300 Nantes, France",appartement,43
4 chambres appartement de 80m² à Nantes,1140,80,4,"Nantes, Loire-Atlantique, France",appartement,14
1 chambre appartement de 27m² à Rennes,338,27,1,"1 Rue de Bourgogne, 35000 Rennes, France",appartement,13
1 chambre appartement de 27m² à Rennes,322,27,1,"Rennes, Ille-et-Vilaine, France",appartement,12
2 chambres appartement de 39m² à Rennes,637,39,2,"Rennes, Ille-et-Vilaine, France",appartement,16
1 chambre appartement de 29m² à Rennes,450,29,1,"Rennes, Ille-et-Vilaine, France",appartement,16
1 chambre appartement de 27m² à Rennes,375,27,1,"1 Rue de Bourgogne, 35000 Rennes, France",appartement,14
1 chambre appartement de 81m² à Rennes,320,81,1,"1 Rue de Bourgogne, 35000 Rennes, France",appartement,4
4 chambres appartement de 73m² à Rennes,465,73,4,"Rennes, Ille-et-Vilaine, France",appartement,6
1 chambre studio de 27m² à Rennes,323,27,1,"Rennes, Ille-et-Vilaine, France",studio,12
1 chambre appartement de 9m² à Rennes,290,9,1,"Rennes, Ille-et-Vilaine, France",appartement,32
4 chambres appartement de 75m² à Rennes,807,75,4,"Rennes, Ille-et-Vilaine, France",appartement,11
1 chambre appartement de 29m² à Rennes,400,29,1,"1 Rue de Bourgogne, 35000 Rennes, France",appartement,14
1 chambre studio de 34m² à Rennes,406,34,1,"Rennes, Ille-et-Vilaine, France",studio,12
2 chambres appartement de 32m² à Rennes,474,32,2,"Agence France-Presse, 24 Avenue des Français Libres, 35000 Rennes, France",appartement,15
2 chambres appartement de 41m² à Rennes,630,41,2,"Rennes, Ille-et-Vilaine, France",appartement,15
3 chambres appartement de 64m² à Rennes,720,64,3,"Rennes, Ille-et-Vilaine, France",appartement,11
2 chambres appartement de 46m² à Rennes,685,46,2,"29 Rue de Penhoët, 35706 Rennes, France",appartement,15
1 chambre appartement de 37m² à Rennes,435,37,1,"Rennes, Ille-et-Vilaine, France",appartement,12
1 chambre appartement de 25m² à Rennes,520,25,1,"Rennes, Ille-et-Vilaine, France",appartement,21
1 chambre appartement de 31m² à Rennes,424,31,1,"1 Rue de Bourgogne, 35000 Rennes, France",appartement,14
